timeSeriesDesc,geoLevelDesc,geoLevelValueDesc,label,counts,countsPercentage,countsMales,countsPercentageMales,countsFemales,countsPercentageFemales,Province,District,Municipality,ReportType
Census 2022,Municipality,Ray Nkonyeni,Yes,91483,76.2,,,,,KwaZulu-Natal,Ugu,Ray Nkonyeni,DsSchoolAttendences
Census 2022,Municipality,Ray Nkonyeni,No,28527,23.8,,,,,KwaZulu-Natal,Ugu,Ray Nkonyeni,DsSchoolAttendences
Census 2022,Municipality,Umdoni,Yes,35370,71.0,,,,,KwaZulu-Natal,Ugu,Umdoni,DsSchoolAttendences
Census 2022,Municipality,Umdoni,No,14418,29.0,,,,,KwaZulu-Natal,Ugu,Umdoni,DsSchoolAttendences
Census 2022,Municipality,uMuziwabantu,Yes,39536,83.2,,,,,KwaZulu-Natal,Ugu,uMuziwabantu,DsSchoolAttendences
Census 2022,Municipality,uMuziwabantu,No,8004,16.8,,,,,KwaZulu-Natal,Ugu,uMuziwabantu,DsSchoolAttendences
Census 2022,Municipality,Umzumbe,Yes,40015,77.3,,,,,KwaZulu-Natal,Ugu,Umzumbe,DsSchoolAttendences
Census 2022,Municipality,Umzumbe,No,11779,22.7,,,,,KwaZulu-Natal,Ugu,Umzumbe,DsSchoolAttendences
Census 2022,Municipality,Impendle,Yes,10847,79.0,,,,,KwaZulu-Natal,Umgungundlovu,Impendle,DsSchoolAttendences
Census 2022,Municipality,Impendle,No,2890,21.0,,,,,KwaZulu-Natal,Umgungundlovu,Impendle,DsSchoolAttendences
Census 2022,Municipality,Mkhambathini,Yes,14484,73.1,,,,,KwaZulu-Natal,Umgungundlovu,Mkhambathini,DsSchoolAttendences
Census 2022,Municipality,Mkhambathini,No,5328,26.9,,,,,KwaZulu-Natal,Umgungundlovu,Mkhambathini,DsSchoolAttendences
Census 2022,Municipality,Mpofana,Yes,7532,68.2,,,,,KwaZulu-Natal,Umgungundlovu,Mpofana,DsSchoolAttendences
Census 2022,Municipality,Mpofana,No,3520,31.8,,,,,KwaZulu-Natal,Umgungundlovu,Mpofana,DsSchoolAttendences
Census 2022,Municipality,Richmond,Yes,15194,72.0,,,,,KwaZulu-Natal,Umgungundlovu,Richmond,DsSchoolAttendences
Census 2022,Municipality,Richmond,No,5907,28.0,,,,,KwaZulu-Natal,Umgungundlovu,Richmond,DsSchoolAttendences
Census 2022,Municipality,The Msunduzi,Yes,177803,71.3,,,,,KwaZulu-Natal,Umgungundlovu,The Msunduzi,DsSchoolAttendences
Census 2022,Municipality,The Msunduzi,No,71727,28.7,,,,,KwaZulu-Natal,Umgungundlovu,The Msunduzi,DsSchoolAttendences
Census 2022,Municipality,uMngeni,Yes,20726,71.3,,,,,KwaZulu-Natal,Umgungundlovu,uMngeni,DsSchoolAttendences
Census 2022,Municipality,uMngeni,No,8360,28.7,,,,,KwaZulu-Natal,Umgungundlovu,uMngeni,DsSchoolAttendences
Census 2022,Municipality,uMshwathi,Yes,30980,74.0,,,,,KwaZulu-Natal,Umgungundlovu,uMshwathi,DsSchoolAttendences
Census 2022,Municipality,uMshwathi,No,10902,26.0,,,,,KwaZulu-Natal,Umgungundlovu,uMshwathi,DsSchoolAttendences
