timeSeriesDesc,geoLevelDesc,geoLevelValueDesc,label,counts,countsPercentage,Province,District,Municipality,ReportType
Census 2022,Municipality,Elundini,Communal refuse dump,508,1.2,Eastern Cape,Joe Gqabi,Elundini,DsRefuseDisposals
Census 2022,Municipality,Elundini,Communal container/central collection point,458,1.1,Eastern Cape,Joe Gqabi,Elundini,DsRefuseDisposals
Census 2022,Municipality,Elundini,Own refuse dump,17024,41.3,Eastern Cape,Joe Gqabi,Elundini,DsRefuseDisposals
Census 2022,Municipality,Elundini,No Rubbish Disposal,3498,8.5,Eastern Cape,Joe Gqabi,Elundini,DsRefuseDisposals
Census 2022,Municipality,Elundini,Other,479,1.2,Eastern Cape,Joe Gqabi,Elundini,DsRefuseDisposals
Census 2022,Municipality,Senqu,Removed by local authority at least once a week,18289,37.4,Eastern Cape,Joe Gqabi,Senqu,DsRefuseDisposals
Census 2022,Municipality,Senqu,Removed by local authority less often,126,0.3,Eastern Cape,Joe Gqabi,Senqu,DsRefuseDisposals
Census 2022,Municipality,Senqu,Communal refuse dump,305,0.6,Eastern Cape,Joe Gqabi,Senqu,DsRefuseDisposals
Census 2022,Municipality,Senqu,Communal container/central collection point,1100,2.2,Eastern Cape,Joe Gqabi,Senqu,DsRefuseDisposals
Census 2022,Municipality,Senqu,Own refuse dump,24755,50.6,Eastern Cape,Joe Gqabi,Senqu,DsRefuseDisposals
Census 2022,Municipality,Senqu,No Rubbish Disposal,3754,7.7,Eastern Cape,Joe Gqabi,Senqu,DsRefuseDisposals
Census 2022,Municipality,Senqu,Other,585,1.2,Eastern Cape,Joe Gqabi,Senqu,DsRefuseDisposals
Census 2022,Municipality,Walter Sisulu,Removed by local authority at least once a week,28832,84.4,Eastern Cape,Joe Gqabi,Walter Sisulu,DsRefuseDisposals
Census 2022,Municipality,Walter Sisulu,Removed by local authority less often,681,2.0,Eastern Cape,Joe Gqabi,Walter Sisulu,DsRefuseDisposals
Census 2022,Municipality,Walter Sisulu,Communal refuse dump,205,0.6,Eastern Cape,Joe Gqabi,Walter Sisulu,DsRefuseDisposals
Census 2022,Municipality,Walter Sisulu,Communal container/central collection point,766,2.2,Eastern Cape,Joe Gqabi,Walter Sisulu,DsRefuseDisposals
Census 2022,Municipality,Walter Sisulu,Own refuse dump,2905,8.5,Eastern Cape,Joe Gqabi,Walter Sisulu,DsRefuseDisposals
Census 2022,Municipality,Walter Sisulu,No Rubbish Disposal,633,1.9,Eastern Cape,Joe Gqabi,Walter Sisulu,DsRefuseDisposals
Census 2022,Municipality,Walter Sisulu,Other,149,0.4,Eastern Cape,Joe Gqabi,Walter Sisulu,DsRefuseDisposals
Census 2022,Municipality,Nelson Mandela Bay,Removed by local authority at least once a week,273325,88.8,Eastern Cape,Nelson Mandela Bay,Nelson Mandela Bay,DsRefuseDisposals
Census 2022,Municipality,Nelson Mandela Bay,Removed by local authority less often,5177,1.7,Eastern Cape,Nelson Mandela Bay,Nelson Mandela Bay,DsRefuseDisposals
Census 2022,Municipality,Nelson Mandela Bay,Communal refuse dump,2261,0.7,Eastern Cape,Nelson Mandela Bay,Nelson Mandela Bay,DsRefuseDisposals
Census 2022,Municipality,Nelson Mandela Bay,Communal container/central collection point,5860,1.9,Eastern Cape,Nelson Mandela Bay,Nelson Mandela Bay,DsRefuseDisposals
Census 2022,Municipality,Nelson Mandela Bay,Own refuse dump,7523,2.4,Eastern Cape,Nelson Mandela Bay,Nelson Mandela Bay,DsRefuseDisposals
Census 2022,Municipality,Nelson Mandela Bay,No Rubbish Disposal,12384,4.0,Eastern Cape,Nelson Mandela Bay,Nelson Mandela Bay,DsRefuseDisposals
Census 2022,Municipality,Nelson Mandela Bay,Other,1401,0.5,Eastern Cape,Nelson Mandela Bay,Nelson Mandela Bay,DsRefuseDisposals
Census 2022,Municipality,King Sabata Dalindyebo,Removed by local authority at least once a week,49621,43.3,Eastern Cape,O.R. Tambo,King Sabata Dalindyebo,DsRefuseDisposals
Census 2022,Municipality,King Sabata Dalindyebo,Removed by local authority less often,725,0.6,Eastern Cape,O.R. Tambo,King Sabata Dalindyebo,DsRefuseDisposals
Census 2022,Municipality,King Sabata Dalindyebo,Communal refuse dump,1177,1.0,Eastern Cape,O.R. Tambo,King Sabata Dalindyebo,DsRefuseDisposals
Census 2022,Municipality,King Sabata Dalindyebo,Communal container/central collection point,1091,1.0,Eastern Cape,O.R. Tambo,King Sabata Dalindyebo,DsRefuseDisposals
Census 2022,Municipality,King Sabata Dalindyebo,Own refuse dump,52593,45.9,Eastern Cape,O.R. Tambo,King Sabata Dalindyebo,DsRefuseDisposals
Census 2022,Municipality,King Sabata Dalindyebo,No Rubbish Disposal,8208,7.2,Eastern Cape,O.R. Tambo,King Sabata Dalindyebo,DsRefuseDisposals
Census 2022,Municipality,King Sabata Dalindyebo,Other,1166,1.0,Eastern Cape,O.R. Tambo,King Sabata Dalindyebo,DsRefuseDisposals
