timeSeriesDesc,geoLevelDesc,geoLevelValueDesc,label,countsPercentage,Province,District,Municipality,ReportType
Census 2022,Municipality,Sakhisizwe,Other,1.0,Eastern Cape,Chris Hani,Sakhisizwe,DsMainToiletFacilitys
Census 2022,Municipality,Sakhisizwe,None,6.0,Eastern Cape,Chris Hani,Sakhisizwe,DsMainToiletFacilitys
Census 2022,Municipality,Elundini,Flush toilet,40.5,Eastern Cape,Joe Gqabi,Elundini,DsMainToiletFacilitys
Census 2022,Municipality,Elundini,Chemical toilet,4.9,Eastern Cape,Joe Gqabi,Elundini,DsMainToiletFacilitys
Census 2022,Municipality,Elundini,Pit toilet,47.7,Eastern Cape,Joe Gqabi,Elundini,DsMainToiletFacilitys
Census 2022,Municipality,Elundini,Bucket toilet,1.5,Eastern Cape,Joe Gqabi,Elundini,DsMainToiletFacilitys
Census 2022,Municipality,Elundini,Other,1.9,Eastern Cape,Joe Gqabi,Elundini,DsMainToiletFacilitys
Census 2022,Municipality,Elundini,None,3.5,Eastern Cape,Joe Gqabi,Elundini,DsMainToiletFacilitys
Census 2022,Municipality,Senqu,Flush toilet,40.4,Eastern Cape,Joe Gqabi,Senqu,DsMainToiletFacilitys
Census 2022,Municipality,Senqu,Chemical toilet,2.2,Eastern Cape,Joe Gqabi,Senqu,DsMainToiletFacilitys
Census 2022,Municipality,Senqu,Pit toilet,50.2,Eastern Cape,Joe Gqabi,Senqu,DsMainToiletFacilitys
Census 2022,Municipality,Senqu,Bucket toilet,1.3,Eastern Cape,Joe Gqabi,Senqu,DsMainToiletFacilitys
Census 2022,Municipality,Senqu,Other,2.4,Eastern Cape,Joe Gqabi,Senqu,DsMainToiletFacilitys
Census 2022,Municipality,Senqu,None,3.5,Eastern Cape,Joe Gqabi,Senqu,DsMainToiletFacilitys
Census 2022,Municipality,Walter Sisulu,Flush toilet,89.7,Eastern Cape,Joe Gqabi,Walter Sisulu,DsMainToiletFacilitys
Census 2022,Municipality,Walter Sisulu,Chemical toilet,0.6,Eastern Cape,Joe Gqabi,Walter Sisulu,DsMainToiletFacilitys
Census 2022,Municipality,Walter Sisulu,Pit toilet,5.1,Eastern Cape,Joe Gqabi,Walter Sisulu,DsMainToiletFacilitys
Census 2022,Municipality,Walter Sisulu,Bucket toilet,1.0,Eastern Cape,Joe Gqabi,Walter Sisulu,DsMainToiletFacilitys
Census 2022,Municipality,Walter Sisulu,Other,0.3,Eastern Cape,Joe Gqabi,Walter Sisulu,DsMainToiletFacilitys
Census 2022,Municipality,Walter Sisulu,None,3.3,Eastern Cape,Joe Gqabi,Walter Sisulu,DsMainToiletFacilitys
Census 2022,Municipality,Nelson Mandela Bay,Flush toilet,93.5,Eastern Cape,Nelson Mandela Bay,Nelson Mandela Bay,DsMainToiletFacilitys
Census 2022,Municipality,Nelson Mandela Bay,Chemical toilet,0.6,Eastern Cape,Nelson Mandela Bay,Nelson Mandela Bay,DsMainToiletFacilitys
Census 2022,Municipality,Nelson Mandela Bay,Pit toilet,1.0,Eastern Cape,Nelson Mandela Bay,Nelson Mandela Bay,DsMainToiletFacilitys
Census 2022,Municipality,Nelson Mandela Bay,Bucket toilet,3.7,Eastern Cape,Nelson Mandela Bay,Nelson Mandela Bay,DsMainToiletFacilitys
Census 2022,Municipality,Nelson Mandela Bay,Other,0.2,Eastern Cape,Nelson Mandela Bay,Nelson Mandela Bay,DsMainToiletFacilitys
Census 2022,Municipality,Nelson Mandela Bay,None,1.0,Eastern Cape,Nelson Mandela Bay,Nelson Mandela Bay,DsMainToiletFacilitys
Census 2022,Municipality,King Sabata Dalindyebo,Flush toilet,47.6,Eastern Cape,O.R. Tambo,King Sabata Dalindyebo,DsMainToiletFacilitys
Census 2022,Municipality,King Sabata Dalindyebo,Chemical toilet,3.3,Eastern Cape,O.R. Tambo,King Sabata Dalindyebo,DsMainToiletFacilitys
Census 2022,Municipality,King Sabata Dalindyebo,Pit toilet,41.8,Eastern Cape,O.R. Tambo,King Sabata Dalindyebo,DsMainToiletFacilitys
Census 2022,Municipality,King Sabata Dalindyebo,Bucket toilet,0.9,Eastern Cape,O.R. Tambo,King Sabata Dalindyebo,DsMainToiletFacilitys
Census 2022,Municipality,King Sabata Dalindyebo,Other,2.0,Eastern Cape,O.R. Tambo,King Sabata Dalindyebo,DsMainToiletFacilitys
Census 2022,Municipality,King Sabata Dalindyebo,None,4.4,Eastern Cape,O.R. Tambo,King Sabata Dalindyebo,DsMainToiletFacilitys
Census 2022,Municipality,Mhlontlo,Flush toilet,26.4,Eastern Cape,O.R. Tambo,Mhlontlo,DsMainToiletFacilitys
Census 2022,Municipality,Mhlontlo,Chemical toilet,8.1,Eastern Cape,O.R. Tambo,Mhlontlo,DsMainToiletFacilitys
Census 2022,Municipality,Mhlontlo,Pit toilet,55.8,Eastern Cape,O.R. Tambo,Mhlontlo,DsMainToiletFacilitys
Census 2022,Municipality,Mhlontlo,Bucket toilet,0.7,Eastern Cape,O.R. Tambo,Mhlontlo,DsMainToiletFacilitys
Census 2022,Municipality,Mhlontlo,Other,1.8,Eastern Cape,O.R. Tambo,Mhlontlo,DsMainToiletFacilitys
Census 2022,Municipality,Mhlontlo,None,7.3,Eastern Cape,O.R. Tambo,Mhlontlo,DsMainToiletFacilitys
Census 2022,Municipality,Ngquza Hill,Flush toilet,17.9,Eastern Cape,O.R. Tambo,Ngquza Hill,DsMainToiletFacilitys
